"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","10/21/2011","17:19:41","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:19:54","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:20:58","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:22:01","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:23:04","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:24:08","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:24:20","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:24:33","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:24:55","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:00","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:08","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:12","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:15","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:24","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:37","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:25:41","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:26:12","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:26:19","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:26:41","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:26:44","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:27:15","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:27:22","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:27:44","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:27:48","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:28:18","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:28:26","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:28:48","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:28:51","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:29:22","mail spooler","javax.mail.AuthenticationFailedException"
"ERROR","web-0","10/21/2011","17:29:29","mail spooler","javax.mail.AuthenticationFailedException"
